"scrape_datetime","etf_ticker","etf_name","holdings_date","ticker","isin","security_name","security_type","shares","value","pct_assets"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PCG","US69331C1080","PG&E CORP","Common Stock","212951.0","3460453.75","0.0022"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","VTRS","US92556V1061","VIATRIS INC","Common Stock","288375.0","3423011.25","0.0022"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ACGL","BMG0450A1053","ARCH CAPITAL GROUP LTD","Common Stock","36700.0","3364289.0","0.0022"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CCI","US22822V1017","CROWN CASTLE INC","Common Stock","32137.0","3360244.72","0.0022"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CC","US1638511089","CHEMOURS CO/ THE","Common Stock","119778.0","3287906.1","0.0021"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ACM","US00766T1007","AECOM","Common Stock","33289.0","3117847.74","0.002"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PANW","US6974351057","PALO ALTO NETWORKS INC","Common Stock","10745.0","3014832.1","0.0019"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","RS","US7595091023","RELIANCE INC","Common Stock","9271.0","3013816.68","0.0019"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ALLE","IE00BFRT3W74","ALLEGION PLC","Common Stock","21378.0","2843487.78","0.0018"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","MEDP","US58506Q1094","MEDPACE HOLDINGS INC","Common Stock","7098.0","2768220.0","0.0018"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","INGR","US4571871023","INGREDION INC","Common Stock","23549.0","2758058.88","0.0018"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CSGP","US22160N1090","COSTAR GROUP INC","Common Stock","28162.0","2650044.2","0.0017"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","EEFT","US2987361092","EURONET WORLDWIDE INC","Common Stock","24410.0","2633106.7","0.0017"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","EPR","US26884U1097","EPR PROPERTIES","Common Stock","62388.0","2625910.92","0.0017"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","DFS","US2547091080","DISCOVER FIN SVCS","Common Stock","21411.0","2595869.64","0.0017"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","TDOC","US87918A1051","TELADOC HEALTH INC","Common Stock","172029.0","2585595.87","0.0017"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WSM","US9699041011","WILLIAMS-SONOMA INC","Common Stock","8789.0","2578341.04","0.0017"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CW","US2315611010","CURTISS WRIGHT CORPORATION","Common Stock","10509.0","2556419.34","0.0016"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","EME","US29084Q1004","EMCOR GROUP INC","Common Stock","7589.0","2539962.41","0.0016"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CBOE","US12503M1080","CBOE GLOBAL MARKETS INC","Common Stock","13696.0","2513626.88","0.0016"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","AAL","US02376R1023","AMERICAN AIRLINES GROUP INC","Common Stock","179306.0","2497732.58","0.0016"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ANSS","US03662Q1058","ANSYS INC","Common Stock","7178.0","2457531.86","0.0016"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","NTAP","US64110D1046","NETAPP INC","Common Stock","23106.0","2387080.86","0.0015"
